Sub,Crse,Sec,Day,Time,Room,Instructor
BUS,250,02,MWF,10:00 am-10:50 am,COMBLD 109,"de Wilde, A (P)"
BUS,301,01,MWF,09:00 am-09:50 am,COMBLD 109,"de Wilde, A (P)"
BUS,301,02,TR,09:30 am-10:45 am,GODDAR 200,"Buck, W (P)"
BUS,301,03,TR,11:00 am-12:15 pm,GODDAR 200,"Buck, W (P)"
BUS,301,04,MWF,12:00 pm-12:50 pm,COMBLD 108,"de Wilde, A (P)"
BUS,307,01,MWF,12:00 pm-12:50 pm,COMBLD 218,"Villanueva, E (P)"
BUS,321,01,MW,04:00 pm-05:15 pm,COMBLD 109,"Moylan, W (P)"
BUS,325,01,MW,05:30 pm-06:45 pm,COMBLD 109,"Moylan, W (P)"
BUS,326,01,T,07:00 pm-09:45 pm,COMBLD 218,"Grosjean, B (P)"
BUS,327,01,TR,02:00 pm-03:15 pm,SCIENC 234,"Kang, M (P)"
BUS,331,01,T,07:00 pm-09:45 pm,COMBLD 108,"Erwin, C (P)"
BUS,333,01,M,04:00 pm-06:45 pm,COMBLD 201,"Ferraro, L (P)"
BUS,340,01,R,09:30 am-12:15 pm,COMBLD 201,"Chatterton, C (P)"
BUS,342,01,MWF,12:00 pm-12:50 pm,COMBLD 107,"Kane, G (P)"
BUS,342,02,MWF,10:00 am-10:50 am,COMBLD 201,"Kane, G (P)"
BUS,351,01,TR,02:00 pm-03:15 pm,COMBLD 201,"Buck, W (P)"
BUS,351,02,TR,04:00 pm-05:15 pm,COMBLD 108,"Buck, W (P)"
BUS,410,01,W,04:00 pm-06:45 pm,WEBB 314,"Pakdil, F (P)"
BUS,411,01,MWF,01:00 pm-01:50 pm,COMBLD 107,"Kane, G (P)"
BUS,428,01,TR,12:30 pm-01:45 pm,SCIENC 234,"Grandhi, S (P)"
BUS,429,01,W,04:00 pm-06:45 pm,SCIENC 234,"Kang, M (P)"
BUS,431,01,TR,12:30 pm-01:45 pm,COMBLD 218,"Oh, N (P)"
BUS,431,02,TR,09:30 am-10:45 am,GODDAR 202,"Oh, N (P)"
